[Mon May 04 15:34:47 CEST 2026][INFO] 240: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 241: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 242: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 243: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 244: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 245: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 246: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 247: Breite: 1366, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 248: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 249: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 250: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 251: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 252: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 253: Breite: 1440, Höhe: 1080 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 254: Breite: 1440, Höhe: 1080 (Fenster.java:206)
